lga_name,count
Alpine,76
Ararat,40
Ballarat,300
Banyule,221
Bass Coast,95
Baw Baw,187
Bayside,168
Benalla,56
Bendigo,284
Boroondara,332
Brimbank,462
Buloke,18
Campaspe,101
Cardinia,257
Casey,669
Central Goldfields,37
Colac Otway,89
Corangamite,57
Dandenong,502
Darebin,425
East Gippsland,113
Frankston,255
Gannawarra,27
Geelong,590
Glen Eira,248
Glenelg,66
Golden Plains,77
Hepburn,42
Hindmarsh,19
Hobsons Bay,225
Horsham,50
Hume,550
Indigo,45
Kingston,344
Knox,289
Latrobe,173
Loddon,33
Macedon Ranges,115
Manningham,192
Mansfield,68
Maribyrnong,216
Maroondah,214
Melbourne,754
Melton,289
Mildura,115
Mitchell,150
Moira,78
Monash,507
Moonee Valley,245
Moorabool,126
Moreland,400
Mornington Peninsula,313
Mount Alexander,43
Moyne,69
Murrindindi,137
Nillumbik,150
Northern Grampians,39
Port Phillip,263
Pyrenees,42
Queenscliffe,7
Shepparton,161
South Gippsland,83
Southern Grampians,47
Stonnington,308
Strathbogie,47
Surf Coast,104
Swan Hill,41
Towong,40
Wangaratta,87
Warrnambool,61
Wellington,152
West Wimmera,19
Whitehorse,342
Whittlesea,462
Wodonga,71
Wyndham,418
Yarra,338
Yarra Ranges,406
Yarriambiack,9
